Price,Bedrooms,Bathrooms,Size
N/A,N/A,N/A,N/A
R2850000,1,1,64m²
R1250000,0.5,1,42m²
R6500000,3,3,155m²
R6262500,N/A,N/A,501m²
R5162000,N/A,N/A,413m²
R9250000,3,3.5,244m²
R2295000,2,1,71m²
R1650000,N/A,N/A,110m²
R949000,2,1,74m²
R1995000,1,1,42m²
R3000000,1,1,51m²
R4200000,2,1,76m²
R49000000,N/A,N/A,800m²
R1650000,2,1,91m²
R2700000,1,1,74m²
R2850000,1,1,63m²
R3000000,1,1,51m²
R3750000,2,2,80m²
R5350000,3,3,399m²
R3550000,N/A,N/A,258m²
POA,10,10,833m²
N/A,N/A,N/A,N/A
R1450000,1,1,43m²
R5100000,2,2,93m²
R1450000,1,1,43m²
R16500000,2,2.5,165m²
R3950000,1,1,62m²
R1750000,2,1,151m²
R4300000,1,1,N/A
R3200000,N/A,N/A,216m²
R1050000,1,1,N/A
R8575000,N/A,N/A,686m²
R1900000,N/A,N/A,93m²
R4615000,N/A,N/A,130m²
R1950000,3,2,231m²
R5495000,2,2,155m²
R2695000,3,2,226m²
R1500000,1,1,45m²
R10900000,4,4,1582m²
R4995000,2,2,86m²
R1740000,1,1,26m²
R1499999,3,2,101m²
R3570000,N/A,N/A,135m²
N/A,N/A,N/A,N/A
R5353000,N/A,N/A,225m²
R3170000,N/A,N/A,130m²
R2600000,3,2,112m²
R1750000,2,1,498m²
R99000,N/A,N/A,98m²
R3999999,N/A,N/A,438m²
R2450000,3,2.5,495m²
R6000000,N/A,N/A,1250m²
R5395000,3,2,513m²
R28500000,3,3,499m²
R7995000,3,3.5,651m²
R1230000,1,1,26m²
R13995000,4,3.5,694m²
R1300000,N/A,1,45m²
R1795000,2,1,51m²
R39998000,3,3,341m²
R5225000,3,2.5,157m²
R10595000,6,5,735m²
R4600000,N/A,N/A,182m²
R2850000,2,1,63m²
R6000000,N/A,N/A,1250m²
N/A,N/A,N/A,N/A
R1650000,3,1,549m²
R15949000,2,2,229m²
R1151000,1,1,62m²
R3450000,2,1,81m²
R650000,3,1,117m²
R2600000,3,2,N/A
R138000000,5,6,742m²
R1825000,2,1,81m²
R1750000,2,1,65m²
R11450000,N/A,N/A,914m²
R2550000,2,2,112m²
R2500000,1,1,45m²
R12995000,2,2,154m²
R1999995,N/A,N/A,33m²
R2995000,2,1,112m²
R420000,N/A,1,30m²
R5995000,2,2,109m²
R11450000,N/A,N/A,914m²
